page_id,url,suggest,topic,probability
1,https://twitter.com/hashtag/%E5%B0%B1%E6%B4%BB%E3%81%82%E3%82%8B%E3%81%82%E3%82%8B,就活 あるある,18,0.9533334
2,https://01intern.com/magazine/archives/18117,就活 あるある,45,0.27457696
3,http://majimaga.com/2017/04/26/5934,就活 あるある,2,0.3900689
4,https://www.news-postseven.com/archives/20150426_318478.html,就活 あるある,2,0.6114527
6,https://journal.rikunabi.com/p/break/26048.html,就活 あるある,31,0.9760976
7,https://www.recme.jp/media/201811041578,就活 あるある,2,0.25998083
8,https://www.amazon.co.jp/%E5%B0%B1%E6%B4%BB%E3%81%82%E3%82%8B%E3%81%82%E3%82%8B%E2%80%95%E5%86%85%E5%AE%9A%E3%81%99%E3%82%8B%E4%BA%BA%E3%81%97%E3%81%AA%E3%81%84%E4%BA%BA-%E6%AD%A6%E9%87%8E-%E5%85%89/dp/4391143429,就活 あるある,33,0.96080005
9,https://fresh-recruit.rakus.co.jp/comic02/,就活 あるある,44,0.6310691
10,https://syukatsu-pro.com/column/5637,就活 あるある,2,0.23735198
11,https://prtimes.jp/main/html/rd/p/000001263.000005794.html,就活 あるある,1,0.6694263
12,https://www.youtube.com/watch?v=7i2NTMrPqCg,就活 あるある,37,0.49896646
13,http://topics.smt.docomo.ne.jp/article/fnn/bizskills/fnn-00401158CX,就活 あるある,41,0.51
14,https://www.buzzfeed.com/jp/aimurakami/syukatsu-aru-aru-gambaro,就活 あるある,41,0.51
15,https://www.youtube.com/watch?v=t3PwNti6C6Q,就活 あるある,45,0.82324064
16,https://www.aoki-style.com/static/recruit/magazine/pc/life/l_05/,就活 あるある,9,0.5403878
17,https://tabi-labo.com/219505/job-hunting-students,就活 あるある,40,0.325367
18,https://paiza.jp/ts/4,就活 あるある,10,0.524262
19,https://job.rikunabi.com/2019/company/r856300067/blog/detail/14/,就活 あるある,20,0.39979237
20,https://job.senken.co.jp/shinsotsu/articles/mensetsu-greeting,就活 あいさつ,22,0.8570002
